ticker,entry_date,entry_price,shares,invested,signal_date,exit_date,exit_price,reason,pnl_pct,pnl_eur,entry_year,pnl_bin
ENSG,2020-03-20,32.758419036865234,303.73871183473784,10000.0,2020-03-19,2022-11-30,94.35077667236328,HOLD,185.14693450235305,18514.693450235303,2020,100..250
FICO,2020-03-20,241.42999267578125,41.21277513917649,10000.0,2020-03-19,2022-11-30,619.719970703125,HOLD,154.1267790283571,15412.677902835709,2020,100..250
FLEX,2020-03-20,5.018838882446289,1982.5302690629826,10000.0,2020-03-19,2022-11-30,16.563676834106445,HOLD,226.73800737140382,22673.80073714038,2020,100..250
FLR,2020-03-20,5.630000114440918,1767.317903684994,10000.0,2020-03-19,2022-11-30,33.61000061035156,HOLD,491.025580424302,49102.5580424302,2020,250..500
GHC,2020-03-20,297.5837097167969,33.435970031656545,10000.0,2020-03-19,2022-11-30,623.9180297851562,HOLD,107.56998023376143,10756.998023376145,2020,100..250
HAE,2020-03-20,81.5199966430664,122.05594221950065,10000.0,2020-03-19,2022-11-30,85.30999755859375,HOLD,3.605291720936732,360.52917209367297,2020,0..25
HCA,2020-03-20,74.90040588378906,132.84307184446794,10000.0,2020-03-19,2022-11-30,233.5489501953125,HOLD,208.70233170145985,20870.233170145984,2020,100..250
HIG,2020-03-20,27.42804718017578,362.76735031984265,10000.0,2020-03-19,2022-11-30,71.74259185791016,HOLD,158.95740603605125,15895.740603605125,2020,100..250
MANH,2020-03-20,47.18000030517578,210.89444543535657,10000.0,2020-03-19,2022-11-30,125.94000244140625,HOLD,164.27246738142784,16427.246738142785,2020,100..250
MOS,2020-03-20,8.487527847290039,1172.3083775421026,10000.0,2020-03-19,2022-11-30,46.65578842163086,HOLD,444.21496769372146,44421.49676937214,2020,250..500
MTZ,2020-03-20,26.739999771118164,372.10172345427543,10000.0,2020-03-19,2022-11-30,90.83000183105469,HOLD,236.29010221576988,23629.010221576988,2020,100..250
NVR,2020-03-20,2326.889892578125,4.276094039402825,10000.0,2020-03-19,2022-11-30,4639.009765625,HOLD,97.37657797482957,9737.657797482956,2020,50..100
NVT,2020-03-20,12.732991218566895,781.4346078784054,10000.0,2020-03-19,2022-11-30,38.410030364990234,HOLD,198.6485238177947,19864.85238177947,2020,100..250
NXPI,2020-03-20,66.47683715820312,149.67619437610665,10000.0,2020-03-19,2022-11-30,164.56455993652344,HOLD,145.0824007517515,14508.240075175148,2020,100..250
OKE,2020-03-20,13.834403038024902,719.2214924382117,10000.0,2020-03-19,2022-11-30,56.399322509765625,HOLD,303.6078688343777,30360.786883437773,2020,250..500
ON,2020-03-20,10.819999694824219,919.5933715931262,10000.0,2020-03-19,2022-11-30,75.19999694824219,HOLD,588.0765164373971,58807.65164373971,2020,500..1000
PLNT,2020-03-20,33.93000030517578,293.25080785461114,10000.0,2020-03-19,2022-11-30,78.36000061035156,HOLD,128.6423781506105,12864.237815061053,2020,100..250
SGI,2020-03-20,7.848119735717773,1267.8195969304988,10000.0,2020-03-19,2022-11-30,30.79536247253418,HOLD,288.4774921707061,28847.74921707061,2020,250..500
STLD,2020-03-20,16.678680419921875,596.5699773295738,10000.0,2020-03-19,2022-11-30,98.77957153320312,HOLD,486.3428211643706,48634.28211643706,2020,250..500
TDG,2020-03-20,251.4285125732422,39.57387289996206,10000.0,2020-03-19,2022-11-30,537.232177734375,HOLD,111.54056129832837,11154.056129832836,2020,100..250
THC,2020-03-20,12.979999542236328,766.5639715643404,10000.0,2020-03-19,2022-11-30,46.18000030517578,HOLD,252.2292481857411,25222.92481857411,2020,250..500
TKR,2020-03-20,23.952743530273438,415.40126655739357,10000.0,2020-03-19,2022-11-30,71.93585968017578,HOLD,197.3283598592976,19732.83598592976,2020,100..250
TMHC,2020-03-20,8.239999771118164,1207.5243053859685,10000.0,2020-03-19,2022-11-30,30.389999389648438,HOLD,265.1317958914691,26513.17958914691,2020,250..500
TRMB,2020-03-20,26.0,382.6923076923077,10000.0,2020-03-19,2022-11-30,59.75,HOLD,127.51536057692303,12751.536057692305,2020,100..250
UHS,2020-03-20,73.39024353027344,135.57660421028075,10000.0,2020-03-19,2022-11-30,128.89337158203125,HOLD,73.87550996184171,7387.550996184171,2020,50..100
VC,2020-03-20,46.29397201538086,214.93079048594447,10000.0,2020-03-19,2022-11-30,145.49252319335938,HOLD,211.14468904644622,21114.468904644622,2020,100..250
VRT,2020-03-20,7.322586536407471,1358.8094794823091,10000.0,2020-03-19,2022-11-30,13.80280876159668,HOLD,86.61610451795347,8661.610451795346,2020,50..100
WING,2020-03-20,51.16719436645508,194.46053517687426,10000.0,2020-03-19,2022-11-30,163.42591857910156,HOLD,216.20992130721044,21620.992130721046,2020,100..250
WMB,2020-03-20,8.450143814086914,1177.4947526233498,10000.0,2020-03-19,2022-11-30,29.78348731994629,HOLD,248.94550533890526,24894.550533890528,2020,100..250
WSM,2020-03-20,16.088397979736328,618.4580971040269,10000.0,2020-03-19,2022-11-30,54.790435791015625,HOLD,237.16160715517836,23716.160715517835,2020,100..250
CCL,2020-03-23,11.944785118103027,832.9994974057915,10000.0,2020-03-20,2022-12-01,9.924125671386719,HOLD,-17.74542262025236,-1774.5422620252357,2020,-25..-10
GT,2020-03-23,5.269999980926514,1888.0455476302868,10000.0,2020-03-20,2022-12-01,11.220000267028809,HOLD,110.77952190831502,11077.9521908315,2020,100..250
KMI,2020-03-23,7.704410076141357,1291.4681204227013,10000.0,2020-03-20,2022-12-01,16.08027458190918,HOLD,106.6332618022829,10663.32618022829,2020,100..250
MAR,2020-03-23,67.50298309326172,147.4008931761303,10000.0,2020-03-20,2022-12-01,159.9813690185547,HOLD,134.63489701450686,13463.489701450686,2020,100..250
MGM,2020-03-23,9.141035079956055,1088.4981747655468,10000.0,2020-03-20,2022-12-01,37.266929626464844,HOLD,303.6215995313545,30362.15995313545,2020,250..500
MPC,2020-03-23,13.853654861450195,718.2220215177526,10000.0,2020-03-20,2022-12-01,112.06446838378906,HOLD,700.8473317780266,70084.73317780267,2020,500..1000
UAL,2020-03-23,26.25,379.04761904761904,10000.0,2020-03-20,2022-12-01,43.88999938964844,HOLD,65.53217769804453,6553.217769804454,2020,50..100
WH,2020-03-23,22.719614028930664,437.9475807700732,10000.0,2020-03-20,2022-12-01,68.49728393554688,HOLD,198.48228689949087,19848.228689949086,2020,100..250
WYNN,2020-03-23,55.835609436035156,178.20169065045567,10000.0,2020-03-20,2022-12-01,81.50816345214844,HOLD,44.522680663416004,4452.2680663415995,2020,25..50
BA,2020-03-24,127.68000030517578,77.92919780872413,10000.0,2020-03-23,2022-12-02,182.8699951171875,HOLD,41.796574626538806,4179.65746265388,2020,25..50
CROX,2020-03-24,15.069999694824219,660.2521699729908,10000.0,2020-03-23,2022-12-02,103.98999786376953,HOLD,583.1632363631531,58316.32363631531,2020,500..1000
CVLT,2020-03-24,37.0099983215332,268.8462699608089,10000.0,2020-03-23,2022-12-02,66.91999816894531,HOLD,79.01235934037585,7901.235934037584,2020,50..100
FIVE,2020-03-24,71.63999938964844,138.88889007218106,10000.0,2020-03-23,2022-12-02,184.16000366210938,HOLD,154.49889611797576,15449.889611797575,2020,100..250
HAS,2020-03-24,49.9694709777832,199.12157974263613,10000.0,2020-03-23,2022-12-02,54.83409118652344,HOLD,8.640576065082461,864.057606508246,2020,0..25
MCHP,2020-03-24,33.67911148071289,295.4353473872995,10000.0,2020-03-23,2022-12-02,71.4430160522461,HOLD,110.01258304462777,11001.258304462779,2020,100..250
RCL,2020-03-24,33.69523239135742,295.2940013719004,10000.0,2020-03-23,2022-12-02,59.149940490722656,HOLD,73.79289495373203,7379.289495373203,2020,50..100
WDC,2020-03-24,30.06427764892578,330.95756086976934,10000.0,2020-03-23,2022-12-02,26.67999839782715,HOLD,-12.14202542214543,-1214.2025422145434,2020,-25..-10
BBWI,2020-03-25,10.087244987487793,986.3942049927377,10000.0,2020-03-24,2022-12-05,40.327171325683594,HOLD,295.79595658906584,29579.595658906583,2020,250..500
GTLS,2020-03-25,25.010000228881836,397.8408600136527,10000.0,2020-03-24,2022-12-05,136.3300018310547,HOLD,439.66456948258997,43966.456948258994,2020,250..500
KBH,2020-03-25,17.754892349243164,560.4089174003997,10000.0,2020-03-24,2022-12-05,29.409969329833984,HOLD,63.99201027546668,6399.201027546667,2020,50..100
TOL,2020-03-25,20.223987579345703,491.990017347603,10000.0,2020-03-24,2022-12-05,45.351318359375,HOLD,122.00833926833745,12200.833926833744,2020,100..250
AFL,2020-03-26,30.982345581054688,321.150636383202,10000.0,2020-03-25,2022-12-06,66.18496704101562,HOLD,111.49067562802304,11149.067562802302,2020,100..250
APO,2020-03-26,32.476356506347656,306.3767328103824,10000.0,2020-03-25,2022-12-06,59.823856353759766,HOLD,82.36994465513638,8236.994465513639,2020,50..100
ATI,2020-03-26,8.539999961853027,1165.105391621223,10000.0,2020-03-25,2022-12-06,31.149999618530273,HOLD,261.1156734202592,26111.56734202592,2020,250..500
RBC,2020-03-26,114.72422790527344,86.7297185753615,10000.0,2020-03-25,2022-12-06,219.8699951171875,HOLD,89.73916485681382,8973.91648568138,2020,50..100
PVH,2020-04-07,46.342193603515625,214.70714323814767,10000.0,2020-04-06,2022-12-16,69.49484252929688,HOLD,48.46433913704007,4846.433913704008,2020,25..50
IPGP,2020-05-06,144.1999969482422,69.00138842285385,10000.0,2020-05-05,2023-01-18,107.62000274658203,HOLD,-26.11200036472423,-2611.2000364724227,2020,-50..-25
MRNA,2020-06-10,60.06999969482422,165.6400874071807,10000.0,2020-06-09,2023-02-22,158.1699981689453,HOLD,160.68295860288225,16068.295860288225,2020,100..250
GAP,2020-06-29,10.243852615356445,971.3142480285264,10000.0,2020-06-26,2023-03-13,9.223064422607422,HOLD,-10.862985852572349,-1086.2985852572347,2020,-25..-10
SNX,2020-06-29,55.073020935058594,180.66922480488066,10000.0,2020-06-26,2023-03-13,86.25627136230469,HOLD,55.05934413179081,5505.93441317908,2020,50..100
BCO,2020-07-30,43.50703048706055,228.6986698151977,10000.0,2020-07-29,2023-04-13,64.40033721923828,HOLD,46.54630100401511,4654.630100401511,2020,25..50
DOCU,2020-09-09,211.7899932861328,46.980501040751896,10000.0,2020-09-08,2023-05-23,54.400001525878906,HOLD,-74.57039368338059,-7457.039368338059,2020,<-50%
CYTK,2020-10-09,15.260000228881836,652.0314450040528,10000.0,2020-10-08,2023-06-26,32.939998626708984,HOLD,113.70525328489553,11370.525328489552,2020,100..250
